iter	Logloss
540	0.04114485544
541	0.04108614392
542	0.04099411939
543	0.04084602487
544	0.04075246135
545	0.0406704832
546	0.04061969374
547	0.04054568306
548	0.04048927751
549	0.04041795377
550	0.04025325573
551	0.04022109824
552	0.04010411167
553	0.04006091123
554	0.03993987028
555	0.03987263119
556	0.03977546238
557	0.03972669379
558	0.03960894025
559	0.03955005212
560	0.03948280546
561	0.03939977272
562	0.03929444217
563	0.03925654497
564	0.03913578155
565	0.03910019032
566	0.03899917905
567	0.03889368451
568	0.03877669794
569	0.03873560416
570	0.03859483123
571	0.0385229474
572	0.03850672989
573	0.03842456
574	0.03830241905
575	0.03819930869
576	0.03810488484
577	0.03804154875
578	0.03793134387
579	0.03782754222
580	0.03776118364
581	0.03765385744
582	0.0375648655
583	0.0374616744
584	0.03740961085
585	0.0373248953
586	0.03728279992
587	0.03723884512
588	0.03714468113
589	0.03703426179
590	0.03696278163
591	0.036897296
592	0.03683866773
593	0.03678283237
594	0.03673280232
595	0.03666350198
596	0.03657403068
597	0.036465993
598	0.03643094421
599	0.03637958204
600	0.03629348644
601	0.03619969585
602	0.03612050808
603	0.03598198815
604	0.03592160139
605	0.0358908517
606	0.03582667295
607	0.03576060199
608	0.03564402414
609	0.03558241627
610	0.03550198469
611	0.03541460239
612	0.03526116931
613	0.03518475427
614	0.03512929987
615	0.03508443176
616	0.03497833676
617	0.03491378461
618	0.03485263088
619	0.0347928244
620	0.03466592012
621	0.0346233378
622	0.03458596285
623	0.0345219052
624	0.03446613544
625	0.03442239509
626	0.03436186957
627	0.03427753499
628	0.03419332656
629	0.03411196653
630	0.03408708017
631	0.03405682246
632	0.03396586766
633	0.03388026404
634	0.03381528299
635	0.03377929062
636	0.03374383563
637	0.03367003184
638	0.03358261674
639	0.03351095997
640	0.03345788724
641	0.03341487097
642	0.0333354738
643	0.03327678751
644	0.03318809832
645	0.03315699542
646	0.03310189171
647	0.03309104052
648	0.0330278659
649	0.03296293783
650	0.03288311428
651	0.03274228081
652	0.03264395396
653	0.03258099884
654	0.03251627009
655	0.0324570893
656	0.0324448202
657	0.0323901126
658	0.03233668413
659	0.03229530779
660	0.03228128776
661	0.03224950619
662	0.03215448188
663	0.0320880022
664	0.03202389914
665	0.03197050851
666	0.03191860391
667	0.03183362598
668	0.03172786652
669	0.03166138684
670	0.03159267688
671	0.03156357972
672	0.03149080529
673	0.03140812324
674	0.03129961629
675	0.03121115922
676	0.03114675845
677	0.03111767138
678	0.03108314484
679	0.03102525832
680	0.03093511592
681	0.0308585394
682	0.03083669067
683	0.03077446973
684	0.03071308641
685	0.03068694362
686	0.0306472854
687	0.0305707871
688	0.03047331805
689	0.03041045123
690	0.03037202421
691	0.03031388792
692	0.03025626379
693	0.03021894939
694	0.0301756329
695	0.03012049892
696	0.03005806605
697	0.02999770452
698	0.02992638078
699	0.02988161612
700	0.0298295122
701	0.02977115137
702	0.0297522671
703	0.02968659477
704	0.02963322937
705	0.02961909582
706	0.0295627155
707	0.02947821441
708	0.02938990114
709	0.02935615923
710	0.02926947579
711	0.02920050848
712	0.02911435738
713	0.0290522424
714	0.02902907922
715	0.02901042958
716	0.02894105104
717	0.02888539228
718	0.02884909211
719	0.02879741709
720	0.02876726786
721	0.02874215696
722	0.02870864717
723	0.02862022793
724	0.02858620598
725	0.02852143434
726	0.02847476737
727	0.02840654181
728	0.02834297362
729	0.02829078644
730	0.02824547682
731	0.02819177587
732	0.02817159481
733	0.02810099516
734	0.0280873334
735	0.0280298228
736	0.02798438703
737	0.02795424285
738	0.02791414059
739	0.02784800656
740	0.02781006899
741	0.02773494821
742	0.02769380902
743	0.0276525891
744	0.02760885128
745	0.02758306423
746	0.02751033521
747	0.02746456388
748	0.02742153248
749	0.02740390717
750	0.02733677657
751	0.02726371705
752	0.02717612282
753	0.02709705615
754	0.02703559209
755	0.02699379694
756	0.02689269232
757	0.02686199309
758	0.02683752302
759	0.02680613503
760	0.02672730804
761	0.02662677109
762	0.02657669814
763	0.02651657125
764	0.02644550737
765	0.02636326684
766	0.02633289559
767	0.02627903065
768	0.02620755302
769	0.02614161577
770	0.02608646161
771	0.02606640669
772	0.02597416519
773	0.02593963108
774	0.02586834771
775	0.02584349415
776	0.02578432093
777	0.02573015829
778	0.02569852052
779	0.02562942707
780	0.02559629067
781	0.02552114719
782	0.02550071636
783	0.02548181191
784	0.02543772844
785	0.02540464754
786	0.02538812728
787	0.02535856338
788	0.02529305251
789	0.02527791482
790	0.02522207946
791	0.02517126729
792	0.02512534207
793	0.02503496503
794	0.02498281317
795	0.02491947961
796	0.02486558944
797	0.02481465113
798	0.02480010381
799	0.0247523444
800	0.02471101852
801	0.02467849267
802	0.02463398282
803	0.02457001096
804	0.02453529267
805	0.02450877397
806	0.02446537926
807	0.02443134217
808	0.02438772797
809	0.02433920916
810	0.02429469426
811	0.02427234599
812	0.02420436516
813	0.02417965036
814	0.02410860919
815	0.02404757404
816	0.02401795715
817	0.02396655209
818	0.02394254624
819	0.02391462477
820	0.02389228912
821	0.0238239803
822	0.02379898293
823	0.02378124661
824	0.02375442515
825	0.02375015884
826	0.02367375137
827	0.02362354723
828	0.02359374112
829	0.02355968132
830	0.02350030879
831	0.02348147498
832	0.02346645335
833	0.02344284865
834	0.02342319993
835	0.02338007266
836	0.02328234375
837	0.02327594303
838	0.0232535443
839	0.02318920156
840	0.02312975333
841	0.02310747318
842	0.02308781437
843	0.02304357953
844	0.02301654866
845	0.02299800247
846	0.02296803994
847	0.02292983242
848	0.02288203012
849	0.02284416824
850	0.02281852752
851	0.02275332698
852	0.0226909042
853	0.02265348384
854	0.0226382856
855	0.02262284768
856	0.02258134771
857	0.02256006412
858	0.0225257041
859	0.0224980652
860	0.02246291045
861	0.02243268048
862	0.02239371608
863	0.02233386166
864	0.02231271936
865	0.02226790171
866	0.02224423646
867	0.02220928858
868	0.02217417167
869	0.02214294514
870	0.02212613222
871	0.02209603345
872	0.02206479179
873	0.02204351324
874	0.02199928344
875	0.02196582915
876	0.02193006384
877	0.0218877641
878	0.02185037906
879	0.02178642233
880	0.02176000202
881	0.02172703718
882	0.02170991393
883	0.02166822726
884	0.02163448788
885	0.02161572976
886	0.02160229759
887	0.02156369396
888	0.0215252846
889	0.02148166788
890	0.0214437732
891	0.02141388383
892	0.02138224607
893	0.02133246831
894	0.0213193187
895	0.02128910388
896	0.02123149236
897	0.02119642591
898	0.02116437438
899	0.02113146252
900	0.0211165519
901	0.02108975945
902	0.02104788609
903	0.02100925218
904	0.0210024705
905	0.02095734253
906	0.02089415404
907	0.02085884791
908	0.02084271365
909	0.02081760654
910	0.02076618507
911	0.02072915072
912	0.02069369195
913	0.02067454151
914	0.02064179491
915	0.02060618602
916	0.02055600459
917	0.02051809856
918	0.02048594863
919	0.02044680005
920	0.02040602669
921	0.02037523916
922	0.02035333997
923	0.02032235438
924	0.02029408475
925	0.02027435656
926	0.02023592071
927	0.02019343048
928	0.02016955961
929	0.02015652102
930	0.0201298093
931	0.02009753323
932	0.02006865557
933	0.02004611555
934	0.02002879299
935	0.01999736841
936	0.01995236281
937	0.01990902361
938	0.01987907495
939	0.01983428884
940	0.01976009021
941	0.01972682892
942	0.01970856026
943	0.01969553175
944	0.01966648632
945	0.01965508511
946	0.0196281476
947	0.01959528999
948	0.0195440527
949	0.01950144894
950	0.01948823752
951	0.01947372805
952	0.01942830363
953	0.01940334285
954	0.0193685577
955	0.01934384291
956	0.01933316579
957	0.01931265675
958	0.01929013187
959	0.01927937023
960	0.01925035129
961	0.01922770657
962	0.01920456609
963	0.01915018395
964	0.01912257406
965	0.01909341383
966	0.0190708448
967	0.01902006291
968	0.01899199511
969	0.01898073267
970	0.01896616769
971	0.01894818917
972	0.01893217349
973	0.01890376762
974	0.01888416558
975	0.01885619113
976	0.01882196608
977	0.01879322466
978	0.01875666462
979	0.01873199397
980	0.01870330301
981	0.01869197245
982	0.01866061851
983	0.01864197645
984	0.01861930524
985	0.01859635399
986	0.01855712214
987	0.0185251072
988	0.01849733711
989	0.01848826333
990	0.01847765938
991	0.01846458294
992	0.01842493986
993	0.01839050162
994	0.01837647529
995	0.01835621097
996	0.01834645599
997	0.01831242143
998	0.01829094862
999	0.01825872805
6
